sample	condition	MET_copy	MET_conf	ERBB2_copy	ERBB2_conf	EGFR_copy	EGFR_conf
703-13	met2.1875ERBB2.625	1.009	0.21	1.257	30.51	1	0.67
703-14	met2.1875ERBB2.625	1.106	3.28	1.228	29.38	1.006	0.36
703-15	met2.1875ERBB2.625	1.118	2.55	1.217	26.26	0.983	0.36
703-16	met2.1875ERBB2.625	1.297	10.29	1.112	16.71	0.959	3.89
703-17	met2.1875ERBB2.625	1.113	3.06	1.286	39.2	1.049	1.07
703-18	met2.1875ERBB2.625	1.142	4.2	1.231	30.67	1.053	2.03
703-10	met2.375ERBB3.25	1.259	11.99	1.509	73.22	1.041	0.75
703-11	met2.375ERBB3.25	1.342	14.78	1.403	65.58	0.986	4.08
703-12	met2.375ERBB3.25	1.201	7.75	1.502	72.31	0.987	0.56
703-7	met2.375ERBB3.25	1.24	9.71	1.514	72.21	0.985	0.41
703-8	met2.375ERBB3.25	1.281	11.28	1.561	73.14	1.046	0.37
703-9	met2.375ERBB3.25	1.173	9.1	1.555	74.96	1.017	0.48
703-1	met2.75ERBB4.75	1.33	20.2	2.235	86.41	1.002	0.53
703-2	met2.75ERBB4.75	1.327	19	2.2	86.45	0.984	0.76
703-3	met2.75ERBB4.75	1.334	14.94	2.24	86.62	0.977	1.21
703-4	met2.75ERBB4.75	1.246	17.1	2.112	84.32	1.029	0.45
703-5	met2.75ERBB4.75	1.438	27.19	2.099	80.95	1.01	0.72
703-6	met2.75ERBB4.75	1.424	26.03	2.206	83.42	1.013	0.45
703-20	normal_holdout	1.026	0.37	0.972	1.13	0.975	0.66
703-26	normal_holdout	1.03	0.27	1.028	3.89	0.992	0.42
703-28	normal_holdout	1.024	0.41	0.963	1.35	1.039	0.47
