sample	is_target_pos	n_seg	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010005	TRUE	27	2.78991860514796	2.78150737006343	3.428298838021	2.37792354784027	1e-100	100
A269010006	TRUE	27	2.15206003088644	2.13884562081072	2.6860661184541	1.64006743772733	8.34269883891079e-59	58.0786934336258
A269010007	TRUE	27	2.47191448805639	2.43202207430502	2.78311649282077	2.14715731689476	4.78529031442284e-53	52.3200917092712
A269010009	TRUE	27	1.7705184387447	1.69473426115063	2.04989024972075	1.13525579517147	1e-100	100
A269010002	FALSE	27	1.91786304915214	1.94344881092692	2.5301511773508	1.68996202937018	0.0807477129030286	1.09286976977285
A269010003	FALSE	27	2.01403987432929	2.01129972630955	2.07993580654506	1.94787404370086	0.166214839722209	0.779330204849368
A269010004	FALSE	27	1.99226799355625	1.99963963683741	2.10365172195555	1.88984058188913	0.274591467517898	0.561312961882461
A269010010	FALSE	27	2.06396044200888	2.05947570985069	2.21658036336941	1.88211596020849	0.144128474101767	0.841250211249418
A269010011	FALSE	27	2.0182733466323	2.01208560740869	2.11947199404214	1.85079927221274	0.360130056702316	0.44354063059978
